Team,Year,Matches,Wins,Win_Percentage
Blackpool,2019,2,0.0,0.0
Blackpool,2020,1,1.0,1.0
Blackpool,2021,1,0.0,0.0
Blackpool,2022,3,1.0,0.3333333333333333
Blackpool,2023,2,0.0,0.0
Blackpool,2025,2,0.0,0.0
Blackpool,2026,1,0.0,0.0
Blackpool,2027,1,0.0,0.0
Blackpool,2028,2,1.0,0.5
Bolton,1930,9,3.0,0.3333333333333333
Bolton,1931,10,5.0,0.5
Bolton,2001,13,3.0,0.23076923076923078
Bolton,2002,39,9.0,0.23076923076923078
Bolton,2003,29,9.0,0.3103448275862069
Bolton,2004,13,3.0,0.23076923076923078
Bolton,2005,10,3.0,0.3
Bolton,2006,9,4.0,0.4444444444444444
Bolton,2007,13,4.0,0.3076923076923077
Bolton,2008,5,2.0,0.4
Bolton,2009,14,7.0,0.5
Bolton,2010,9,2.0,0.2222222222222222
Bolton,2011,14,2.0,0.14285714285714285
Bolton,2012,7,4.0,0.5714285714285714
Bolton,2013,17,6.0,0.35294117647058826
Bolton,2014,7,1.0,0.14285714285714285
Bolton,2015,16,5.0,0.3125
Bolton,2016,10,5.0,0.5
Bolton,2017,12,4.0,0.3333333333333333
Bolton,2018,13,4.0,0.3076923076923077
Bolton,2019,11,3.0,0.2727272727272727
Bolton,2020,14,4.0,0.2857142857142857
Bolton,2021,13,5.0,0.38461538461538464
Bolton,2022,11,5.0,0.45454545454545453
Bolton,2023,13,4.0,0.3076923076923077
Bolton,2024,14,8.0,0.5714285714285714
Bolton,2025,10,5.0,0.5
Bolton,2026,21,5.0,0.23809523809523808
Bolton,2027,13,3.0,0.23076923076923078
Bolton,2028,10,1.0,0.1
Bolton,2029,19,4.0,0.21052631578947367
Bournemouth,1931,2,1.0,0.5
Bournemouth,2001,2,0.0,0.0
Bournemouth,2003,1,0.0,0.0
Bournemouth,2004,3,1.0,0.3333333333333333
Bournemouth,2005,2,0.0,0.0
Bournemouth,2006,1,0.0,0.0
Bournemouth,2008,1,0.0,0.0
Bournemouth,2010,2,1.0,0.5
Bournemouth,2011,1,1.0,1.0
Bournemouth,2013,3,2.0,0.6666666666666666
Bournemouth,2014,2,0.0,0.0
Bournemouth,2015,21,6.0,0.2857142857142857
Bournemouth,2016,19,6.0,0.3157894736842105
Bournemouth,2017,22,5.0,0.22727272727272727
Bournemouth,2018,39,15.0,0.38461538461538464
Bournemouth,2019,39,11.0,0.28205128205128205
Bournemouth,2020,18,4.0,0.2222222222222222
Bournemouth,2021,3,0.0,0.0
Bournemouth,2022,19,5.0,0.2631578947368421
Bournemouth,2023,40,14.0,0.35
Bournemouth,2024,58,23.0,0.39655172413793105
Bournemouth,2025,21,8.0,0.38095238095238093
Bournemouth,2026,1,0.0,0.0
Bournemouth,2027,2,0.0,0.0
Bournemouth,2029,2,1.0,0.5
Bradford,1930,1,0.0,0.0
Bradford,1931,1,0.0,0.0
Bradford,2000,20,2.0,0.1
Bradford,2001,2,1.0,0.5
Bradford,2003,1,0.0,0.0
Bradford,2004,1,0.0,0.0
Bradford,2005,1,0.0,0.0
Bradford,2010,2,0.0,0.0
Bradford,2013,3,1.0,0.3333333333333333
Bradford,2017,1,0.0,0.0
Bradford,2019,1,0.0,0.0
Bradford,2021,2,1.0,0.5
Bradford,2024,1,0.0,0.0
Bradford,2028,1,0.0,0.0
Brentford,2021,18,5.0,0.2777777777777778
Brentford,2022,37,13.0,0.35135135135135137
Brentford,2023,40,15.0,0.375
Brentford,2024,55,19.0,0.34545454545454546
Brentford,2025,22,10.0,0.45454545454545453
Brighton,2017,21,5.0,0.23809523809523808
Brighton,2018,37,11.0,0.2972972972972973
Brighton,2019,38,8.0,0.21052631578947367
Brighton,2020,34,5.0,0.14705882352941177
Brighton,2021,40,12.0,0.3
Brighton,2022,36,14.0,0.3888888888888889
Brighton,2023,41,19.0,0.4634146341463415
Brighton,2024,57,16.0,0.2807017543859649
Brighton,2025,20,12.0,0.6
Burnley,1930,1,0.0,0.0
Burnley,1931,3,3.0,1.0
Burnley,2001,2,0.0,0.0
Burnley,2002,2,0.0,0.0
Burnley,2003,3,1.0,0.3333333333333333
Burnley,2004,3,1.0,0.3333333333333333
Burnley,2005,2,1.0,0.5
Burnley,2006,3,1.0,0.3333333333333333
Burnley,2007,1,0.0,0.0
Burnley,2008,1,0.0,0.0
Burnley,2009,2,1.0,0.5
Burnley,2010,4,2.0,0.5
Burnley,2012,4,0.0,0.0
Burnley,2013,3,0.0,0.0
Burnley,2014,2,1.0,0.5
Burnley,2015,2,0.0,0.0
Burnley,2016,3,0.0,0.0
Burnley,2017,23,9.0,0.391304347826087
Burnley,2018,40,9.0,0.225
Burnley,2019,40,16.0,0.4
Burnley,2020,36,13.0,0.3611111111111111
Burnley,2021,43,7.0,0.16279069767441862
Burnley,2022,24,7.0,0.2916666666666667
Burnley,2023,22,4.0,0.18181818181818182
Burnley,2024,19,2.0,0.10526315789473684
Burnley,2025,2,0.0,0.0
Burnley,2026,6,2.0,0.3333333333333333
Burnley,2027,2,0.0,0.0
Burnley,2028,3,0.0,0.0
Burnley,2029,3,1.0,0.3333333333333333
Cardiff,1930,1,0.0,0.0
Cardiff,1931,1,0.0,0.0
Cardiff,2001,2,1.0,0.5
Cardiff,2002,1,0.0,0.0
Cardiff,2003,2,1.0,0.5
Cardiff,2004,1,0.0,0.0
Cardiff,2005,2,0.0,0.0
Cardiff,2007,1,0.0,0.0
Cardiff,2008,2,1.0,0.5
Cardiff,2009,1,0.0,0.0
Cardiff,2011,3,0.0,0.0
Cardiff,2012,1,1.0,1.0
Cardiff,2014,2,1.0,0.5
Cardiff,2015,1,0.0,0.0
Cardiff,2017,1,0.0,0.0
Cardiff,2018,21,5.0,0.23809523809523808
Cardiff,2019,20,5.0,0.25
Cardiff,2021,1,0.0,0.0
Cardiff,2022,3,0.0,0.0
Cardiff,2024,1,0.0,0.0
Cardiff,2025,1,1.0,1.0
Cardiff,2026,2,0.0,0.0
Cardiff,2027,1,0.0,0.0
Cardiff,2028,3,1.0,0.3333333333333333
Cardiff,2029,1,0.0,0.0
Charlton,1930,7,3.0,0.42857142857142855
Charlton,1931,5,2.0,0.4
Charlton,2000,21,8.0,0.38095238095238093
Charlton,2001,10,3.0,0.3
Charlton,2002,28,9.0,0.32142857142857145
Charlton,2003,24,7.0,0.2916666666666667
Charlton,2004,5,3.0,0.6
Charlton,2005,8,3.0,0.375
Charlton,2006,3,1.0,0.3333333333333333
Charlton,2007,5,0.0,0.0
Charlton,2008,6,3.0,0.5
Charlton,2009,6,0.0,0.0
Charlton,2010,7,3.0,0.42857142857142855
Charlton,2011,5,2.0,0.4
Charlton,2012,4,2.0,0.5
Charlton,2013,12,3.0,0.25
Charlton,2014,2,1.0,0.5
Charlton,2015,6,2.0,0.3333333333333333
Charlton,2016,6,1.0,0.16666666666666666
Charlton,2017,10,2.0,0.2
Charlton,2018,6,2.0,0.3333333333333333
Charlton,2019,5,0.0,0.0
Charlton,2020,12,4.0,0.3333333333333333
Charlton,2021,6,3.0,0.5
Charlton,2022,9,2.0,0.2222222222222222
Charlton,2023,7,1.0,0.14285714285714285
Charlton,2024,7,2.0,0.2857142857142857
Charlton,2025,4,2.0,0.5
Charlton,2026,9,3.0,0.3333333333333333
Charlton,2027,7,1.0,0.14285714285714285
Charlton,2028,8,4.0,0.5
Charlton,2029,6,3.0,0.5
Chelsea,1930,20,13.0,0.65
Chelsea,1931,12,8.0,0.6666666666666666
Chelsea,2000,20,7.0,0.35
Chelsea,2001,23,16.0,0.6956521739130435
Chelsea,2002,43,20.0,0.46511627906976744
Chelsea,2003,33,21.0,0.6363636363636364
Chelsea,2004,11,8.0,0.7272727272727273
Chelsea,2005,17,12.0,0.7058823529411765
Chelsea,2006,12,7.0,0.5833333333333334
Chelsea,2007,14,9.0,0.6428571428571429
Chelsea,2008,14,8.0,0.5714285714285714
Chelsea,2009,13,7.0,0.5384615384615384
Chelsea,2010,14,8.0,0.5714285714285714
Chelsea,2011,20,10.0,0.5
Chelsea,2012,14,8.0,0.5714285714285714
Chelsea,2013,15,12.0,0.8
Chelsea,2014,16,9.0,0.5625
Chelsea,2015,41,22.0,0.5365853658536586
Chelsea,2016,31,13.0,0.41935483870967744
Chelsea,2017,41,28.0,0.6829268292682927
Chelsea,2018,49,28.0,0.5714285714285714
Chelsea,2019,53,28.0,0.5283018867924528
Chelsea,2020,57,32.0,0.5614035087719298
Chelsea,2021,61,33.0,0.5409836065573771
Chelsea,2022,47,23.0,0.48936170212765956
Chelsea,2023,63,26.0,0.4126984126984127
Chelsea,2024,72,40.0,0.5555555555555556
Chelsea,2025,35,20.0,0.5714285714285714
Chelsea,2026,20,10.0,0.5
Chelsea,2027,16,14.0,0.875
Chelsea,2028,19,11.0,0.5789473684210527
Chelsea,2029,16,12.0,0.75
Coventry,1931,2,1.0,0.5
Coventry,2000,21,5.0,0.23809523809523808
Coventry,2001,1,0.0,0.0
Coventry,2003,2,0.0,0.0
Coventry,2005,1,0.0,0.0
Coventry,2007,1,1.0,1.0
Coventry,2012,1,0.0,0.0
Coventry,2013,1,0.0,0.0
Coventry,2014,1,0.0,0.0
Coventry,2016,1,1.0,1.0
Coventry,2017,1,0.0,0.0
Coventry,2019,1,0.0,0.0
Coventry,2020,1,0.0,0.0
Coventry,2021,1,0.0,0.0
Coventry,2024,1,0.0,0.0
Coventry,2028,1,0.0,0.0
Crystal Palace,1930,4,1.0,0.25
Crystal Palace,1931,2,2.0,1.0
Crystal Palace,2001,5,1.0,0.2
Crystal Palace,2002,4,0.0,0.0
Crystal Palace,2003,4,3.0,0.75
Crystal Palace,2004,3,2.0,0.6666666666666666
Crystal Palace,2005,8,1.0,0.125
Crystal Palace,2006,2,0.0,0.0
Crystal Palace,2007,2,1.0,0.5
Crystal Palace,2008,2,1.0,0.5
Crystal Palace,2009,1,0.0,0.0
Crystal Palace,2010,4,2.0,0.5
